model,observation_horizon_sec,release_time_sec,available_station_count,event_count,station_mae,station_rmse,station_bias,event_mae,event_rmse,event_bias,event_abs_step_p95,station_abs_step_p95
phase47,107,113.0,158,8,0.42429705374508053,0.5368049166861136,0.29755083104296043,0.41742111820885086,0.5144611312393734,0.2771995952407508,0.03623914948069665,0.0465947941772964
phase48,107,113.0,158,8,0.5537220914668556,0.7137696635497064,0.39968179756576677,0.42011080122218925,0.5261517394167292,0.2954718807109762,0.010933712223355705,0.034401198422177974
phase39,108,114.0,158,8,0.47640720135382336,0.5809156601310149,0.19069592750281314,0.2701375327795038,0.35165265727937073,0.177929894868876,0.07277083180962678,0.04975226207736586
phase47,108,114.0,158,8,0.42664972454270006,0.5392423128773504,0.298074224378386,0.419086707954231,0.519198209803624,0.27832427100144075,0.019616358211954656,0.04393108691633285
phase48,108,114.0,158,8,0.5545535570109372,0.7159794562842974,0.4014029753243584,0.42163331591089304,0.5292074619357169,0.29801933924827917,0.01279928728278512,0.033158876017241656
phase39,109,115.0,158,8,0.4660010227221618,0.5693640674281975,0.1814429542946671,0.26932010510298865,0.34405746116967445,0.1788078395140168,0.03465139483964722,0.05567414121796573
phase47,109,115.0,158,8,0.42839120976303763,0.5407300184563438,0.2985165890183205,0.41942597707865625,0.5183781336693748,0.27830118947862703,0.00485681332551775,0.034699187324306505
phase48,109,115.0,158,8,0.5550326358342571,0.718260266159065,0.40447975131232927,0.4226398944840911,0.5321767494582779,0.2998327892790732,0.01572432660532907,0.03732153832226218
phase39,110,116.0,158,8,0.45206588073478443,0.5546258474769712,0.16749553837340203,0.25956511174910624,0.33015507749347417,0.1701280170487327,0.02698902206408732,0.060857344660569065
phase47,110,116.0,158,8,0.43275043244194933,0.54465736986901,0.302803357128325,0.4229222259953014,0.5196735458325196,0.2807217076397166,0.010770624453939392,0.037058166190033805
phase48,110,116.0,158,8,0.5553957889737265,0.7205461739098923,0.40842128524980287,0.42413291441310863,0.5369942756485356,0.3018084416750354,0.019762506749124355,0.039812327836920076
phase39,111,117.0,158,8,0.4351174539427914,0.5371928521265571,0.145214598918571,0.2365875805602492,0.3054624619054386,0.14721876222698527,0.054482878331963386,0.07331198585508682
phase47,111,117.0,158,8,0.4393247397298819,0.5519511364689471,0.3118828606158113,0.4343638192885143,0.5313269217141594,0.29133499543958885,0.03871923688829659,0.045228550121572134
phase48,111,117.0,158,8,0.5550552041591627,0.7219683811043363,0.4118547495081067,0.4293543919239091,0.5451032625712504,0.30733522724775564,0.026321248612679003,0.03815653535546742
phase39,112,118.0,158,8,0.4169079903841464,0.5182319308750354,0.11672858238459904,0.21959485752158725,0.284887974615326,0.1282695329675908,0.04809725835351982,0.08108384379212129
phase47,112,118.0,158,8,0.446659648138529,0.5613678468095827,0.3245844240930079,0.4444948815450088,0.5390044600737527,0.30070561291253284,0.02764308052848365,0.05433498850048056
phase48,112,118.0,158,8,0.5530933348934493,0.7220017409673515,0.4136854359642935,0.42810894047030357,0.5407481043525686,0.3061753949030017,0.01621296185074947,0.04139668724880066
phase39,113,119.0,158,8,0.40534407484276624,0.5036118888947881,0.07729807705595537,0.22051880932579715,0.27629767563573776,0.11194787877696888,0.06240043015130709,0.12832479099084326
phase47,113,119.0,158,8,0.45393673991082817,0.5713873933325182,0.33786947263027267,0.4532111407630234,0.5506290062009149,0.3093155218767042,0.03745936761637088,0.06409243943102938
phase48,113,119.0,158,8,0.551948021335318,0.7235071994651397,0.41633233788972923,0.4290753816970371,0.5452970920660156,0.30736250156260037,0.015313596998613031,0.03368209873266286
phase39,114,120.0,158,8,0.39782602956213287,0.49485205237563307,0.05153260611910459,0.2271132954368822,0.27624062457280585,0.10346558179813581,0.0680213233077709,0.0839238059999237
phase47,114,120.0,158,8,0.45859089037082706,0.5778930122156735,0.3450395764495115,0.45761846524269845,0.5587558725710898,0.3150868994341014,0.02458030825434062,0.04737612877195978
phase48,114,120.0,158,8,0.548472638610889,0.7222215773532427,0.415072435899396,0.4285024571720971,0.54727343838502,0.306382209086265,0.010916272964031526,0.0327875072708384
phase39,115,121.0,158,8,0.3948819197610642,0.49015785925324123,0.029970953314625896,0.23374963563010587,0.281676495562447,0.09139499681699537,0.0394266068628621,0.09873111123328315
phase47,115,121.0,158,8,0.4593610325303029,0.5802750826390066,0.3468614142672546,0.4584852195424738,0.5605129737614916,0.3160016564812618,0.01602961111646439,0.04167946346960885
phase48,115,121.0,158,8,0.5431064949142071,0.7174992348292552,0.40943083573643024,0.42694750172668694,0.5467575022072385,0.30389850828025444,0.01195365435130622,0.033835047917771456
phase39,116,122.0,158,8,0.3992976161876879,0.490950007620283,0.02130471715277779,0.23966647854774803,0.29518193383161234,0.10014161435038837,0.061252767809485756,0.08476599378344686
phase47,116,122.0,158,8,0.4557192228027092,0.5783513078832542,0.3435917597106612,0.4586930408446309,0.5625806017699404,0.3138232892661398,0.015429893005214579,0.036890642530991974
phase48,116,122.0,158,8,0.5373931152396245,0.7106101814560359,0.40040026601184153,0.4229757468440195,0.5402540719750814,0.29869419398300356,0.01716730939994719,0.03562608214047779
phase39,117,123.0,158,8,0.40442317608695016,0.49601696268384177,0.02560282871615543,0.25535988043357394,0.313848366380029,0.10124981697038238,0.039642341985960027,0.07902103790761146
phase47,117,123.0,158,8,0.45127687994254045,0.5752142996581616,0.33790160888869053,0.45742218526303835,0.5612153322305296,0.307592300974754,0.019003191936073,0.036998116833692064
phase48,117,123.0,158,8,0.5335369537380593,0.7045909446964383,0.39100991562610793,0.41924118738632965,0.5350166085029576,0.2940058071307835,0.01606062103041554,0.038297065652846705
phase39,118,124.0,158,8,0.4099251192929251,0.5030597674738095,0.03800611748223706,0.25573035070549366,0.313042195911594,0.1010030403425376,0.01843244312312051,0.08015037326087131
phase47,118,124.0,158,8,0.44818473967030414,0.5723082215531092,0.3314263514210585,0.45599017691459043,0.5593846629515207,0.3006208640971402,0.026190593381898743,0.04212882599371644
phase48,118,124.0,158,8,0.5329863226440834,0.7019529796786416,0.38463838429369746,0.4171285495086321,0.5344266946825005,0.2915781431352493,0.01415307554125027,0.034509007176447434
phase39,119,125.0,158,8,0.4142552636675771,0.5087171097965644,0.049141223973768446,0.25766204830815465,0.3104986293614387,0.10013824121470893,0.02238638449142853,0.081352863294879
